公司代號,公司名稱,稅後淨利
3437,榮創能源科技股份有限公司,332701
4934,太極能源科技股份有限公司,78836
2409,友達光電股份有限公司,661889
6226,光鼎電子股份有限公司,12345
5243,乙盛精密工業股份有限公司,268110
3576,聯合再生能源股份有限公司,200243
3059,華晶科技股份有限公司,32006
6456,GIS Holding Limited,2304270
6431,光麗光電科技股份有限公司,139334
3543,州巧科技股份有限公司,47733
6168,宏齊科技股份有限公司,61162
2406,國碩科技工業股份有限公司,417314
2491,吉祥全球實業股份有限公司,109062
2426,鼎元光電科技股份有限公司,85842
8105,凌巨科技股份有限公司,67793
3383,新世紀光電股份有限公司,23923
3591,艾笛森光電股份有限公司,3614
3535,晶彩科技股份有限公司,3593
2438,翔耀實業股份有限公司,31419
3031,佰鴻工業股份有限公司,12708
6120,達運精密工業股份有限公司,1290190
6477,安集科技股份有限公司,122177
6443,元晶太陽能科技股份有限公司,173241
6668,中揚光電股份有限公司,46593
8104,錸寶科技股份有限公司,120568
3024,憶聲電子股份有限公司,766125
3406,玉晶光電股份有限公司,5890
6706,惠特科技股份有限公司,327406
6289,華上光電股份有限公司,158527
2323,中環股份有限公司,423399
3714,富采投資控股股份有限公司,303675
2450,神腦國際企業股份有限公司,545717
3045,台灣大哥大股份有限公司,3855662
2412,中華電信股份有限公司,9614100
3596,智易科技股份有限公司,172421
2439,美律實業股份有限公司,165564
6152,百一電子股份有限公司,155692
6285,啟碁科技股份有限公司,279109
4904,遠傳電信股份有限公司,2808045
4906,正文科技股份有限公司,223828
5388,中磊電子股份有限公司,118222
2485,兆赫電子股份有限公司,175497
3311,閎暉實業股份有限公司,103790
2455,全新光電科技股份有限公司,132257
6216,居易科技股份有限公司,31054
3047,訊舟科技股份有限公司,67368
8011,台通光電股份有限公司,12541
3682,亞太電信股份有限公司,661563
2332,友訊科技股份有限公司,130995
3062,建漢科技股份有限公司,58733
6136,富爾特科技股份有限公司,18838
6142,友勁科技股份有限公司,38554
2345,智邦科技股份有限公司,69243
3025,星通資訊股份有限公司,8455
2419,仲琦科技股份有限公司,28833
3380,明泰科技股份有限公司,48281
2498,宏達國際電子股份有限公司,85126
3027,盛達電業股份有限公司,5802
2444,兆勁科技股份有限公司,5671
3419,譁裕實業股份有限公司,3334
3669,圓展科技股份有限公司,1540
4977,眾達科技股份有限公司,100548
6416,瑞祺電通股份有限公司,96079
3138,耀登科技股份有限公司,2774
2321,東訊股份有限公司,24007
8101,華冠通訊股份有限公司,131671
3704,合勤投資控股股份有限公司,81892
6442,光紅建聖股份有限公司,117506
6426,統新光訊股份有限公司,56129
2314,台揚科技股份有限公司,5357
6674,鋐寶科技股份有限公司,104811
3694,海華科技股份有限公司,38825
2059,川湖科技股份有限公司,406599
6269,台郡科技股份有限公司,382505
3533,嘉澤端子工業股份有限公司,183342
2308,台達電子工業股份有限公司,4173956
2385,群光電子股份有限公司,993442
4958,臻鼎科技控股股份有限公司,1048006
4999,鑫禾科技股份有限公司,86754
4927,泰鼎國際股份有限公司,126192
3501,維熹科技股份有限公司,144067
3376,新日興股份有限公司,209197
6115,鎰勝工業股份有限公司,196016
8213,志超科技股份有限公司,361003
3044,健鼎科技股份有限公司,608208
2392,正崴精密工業股份有限公司,613148
2355,敬鵬工業股份有限公司,442159
3607,谷崧精密工業股份有限公司,134635
6224,聚鼎科技股份有限公司,79608
1582,信錦企業股份有限公司,130527
2420,新巨企業股份有限公司,129095
6213,聯茂電子股份有限公司,265382
8039,台虹科技股份有限公司,169231
4912,聯德控股股份有限公司,26340
8103,瀚荃股份有限公司,55634
2493,揚博科技股份有限公司,81304
2467,志聖工業股份有限公司,100530
3042,台灣晶技股份有限公司,209434
2428,興勤電子工業股份有限公司,80547
3023,信邦電子股份有限公司,131885
6282,康舒科技股份有限公司,308771
2383,台光電子材料股份有限公司,188710
2462,台灣良得電子股份有限公司,51461
4915,致伸科技股份有限公司,229985
6205,詮欣股份有限公司,40241
3026,禾伸堂企業股份有限公司,155982
3090,日電貿股份有限公司,60839
2472,立隆電子工業股份有限公司,96659
3003,健和興端子股份有限公司,69658
6108,競國實業股份有限公司,78939
3679,新至陞科技股份有限公司,39209
6155,鈞寶電子工業股份有限公司,38280
2456,奇力新電子股份有限公司,65146
3037,欣興電子股份有限公司,554476
3015,全漢企業股份有限公司,90095
6412,群光電能科技股份有限公司,106940
6153,嘉聯益科技股份有限公司,96375
3229,晟鈦股份有限公司,14605
2313,華通電腦股份有限公司,278790
3058,立德電子股份有限公司,33517
2483,百容電子股份有限公司,22462
2476,鉅祥企業股份有限公司,58148
6197,佳必琪國際股份有限公司,27918
2415,錩新科技股份有限公司,11253
3550,聯穎科技股份有限公司,14647
2375,凱美電機股份有限公司,29006
2316,楠梓電子股份有限公司,46464
2484,希華晶體科技股份有限公司,22683
2457,飛宏科技股份有限公司,37185
2421,建準電機工業股份有限公司,30701
2328,廣宇科技股份有限公司,77791
3032,偉訓科技股份有限公司,9737
3645,達邁科技股份有限公司,11089
2327,國巨股份有限公司,199753
2478,大毅科技股份有限公司,21808
8249,菱光科技股份有限公司,9949
3021,鴻名企業股份有限公司,6744
2402,毅嘉科技股份有限公司,19169
3653,健策精密工業股份有限公司,3389
2367,燿華電子股份有限公司,685
3338,泰碩電子股份有限公司,66211
4545,銘鈺精密工業股份有限公司,49475
3605,宏致電子股份有限公司,36147
1471,首利實業股份有限公司,18228
2431,聯昌電子企業股份有限公司,3224
2413,環隆科技股份有限公司,1447
4943,開曼康而富控股股份有限公司,17589
6133,金橋科技股份有限公司,12645
2460,建通精密工業股份有限公司,14718
6251,定穎電子股份有限公司,33398
3092,鴻碩精密電工股份有限公司,2943
5469,瀚宇博德股份有限公司,12567
8046,南亞電路板股份有限公司,10039
3321,同泰電子科技股份有限公司,154681
6449,鈺邦科技股份有限公司,95546
2492,華新科技股份有限公司,63151
6191,精成科技股份有限公司,18977
2368,金像電子(股)公司,198372
3432,台端興業股份有限公司,18734
6141,柏承科技股份有限公司,11686
3296,勝德國際研發股份有限公司,2373
2440,太空梭高傳真資訊科技(股)公司,5821
3308,聯德電子股份有限公司,21732
6672,騰輝電子國際集團股份有限公司,417965
4989,李長榮科技股份有限公司,405912
3011,今皓實業股份有限公司,2945
6715,嘉基科技股份有限公司,68947
3593,力銘科技股份有限公司,2087
6781,"AES Holding Co., Ltd.",607487
8070,長華電材股份有限公司,180182
8072,陞泰科技股份有限公司,165807
6281,全國電子股份有限公司,145956
5434,崇越科技股份有限公司,193088
3010,華立企業股份有限公司,299142
2430,燦坤實業股份有限公司,204616
3036,文曄科技股份有限公司,297547
6189,豐藝電子股份有限公司,151897
3702,大聯大投資控股股份有限公司,1040260
2347,聯強國際股份有限公司,1043105
3028,增你強股份有限公司,114950
3528,安馳科技股份有限公司,27172
3209,全科科技股份有限公司,40912
3033,威健實業股份有限公司,120432
3312,弘憶國際股份有限公司,32119
2414,精技電腦股份有限公司,35633
8112,至上電子股份有限公司,44958
3048,益登科技股份有限公司,37505
3055,蔚華科技股份有限公司,14048
6776,展碁國際股份有限公司,98163
5203,訊連科技股份有限公司,198004
3130,一零四資訊科技股份有限公司,42735
4994,傳奇網路遊戲股份有限公司,40788
6112,聚碩科技股份有限公司,53186
6214,精誠資訊股份有限公司,139135
2480,敦陽科技股份有限公司,75940
2471,資通電腦股份有限公司,23689
6183,關貿網路股份有限公司,29700
2453,凌群電腦股份有限公司,9832
3029,零壹科技股份有限公司,4962
2468,華經資訊企業股份有限公司,120
2427,三商電腦股份有限公司,3467
2474,可成科技股份有限公司,3925731
6409,旭隼科技股份有限公司,159625
2354,鴻準精密工業股份有限公司,2132024
2317,鴻海精密工業股份有限公司,16350324
6192,巨路國際股份有限公司,157328
3617,碩天科技股份有限公司,102026
3665,貿聯控股(BizLink Holding Inc.),96797
2433,互盛股份有限公司,166983
5225,東科控股股份有限公司,68575
3305,昇貿科技股份有限公司,126288
2373,震旦行股份有限公司,306093
2404,漢唐集成股份有限公司,214370
2459,敦吉科技股份有限公司,129541
8201,無敵科技股份有限公司,56724
2461,光群雷射科技股份有限公司,110826
2464,盟立自動化股份有限公司,115426
2360,致茂電子股份有限公司,219953
6139,亞翔工程股份有限公司,83368
3030,德律科技股份有限公司,101151
2488,漢平電子工業股份有限公司,31770
8021,尖點科技股份有限公司,57253
2423,固緯電子實業股份有限公司,36911
6201,亞弘電科技股份有限公司,24815
2312,金寶電子工業股份有限公司,285148
2390,云辰電子開發股份有限公司,33959
2359,所羅門股份有限公司,31283
2495,普安科技股份有限公司,30148
6196,帆宣系統科技股份有限公司,16065
6283,淳安電子股份有限公司,9306
2482,連宇股份有限公司,4973
2477,美隆工業股份有限公司,5507
3518,柏騰科技股份有限公司,124859
6215,和椿科技股份有限公司,21674
6438,迅得機械股份有限公司,198661
3043,科風股份有限公司,49093
3018,同開科技工程股份有限公司,3814
6558,興能高科技股份有限公司,75582
8499,鼎炫投資控股股份有限公司,342169
6743,安普新股份有限公司,222406
6698,旭暉應用材料股份有限公司,31492
9931,欣高石油氣股份有限公司,101128
6505,台塑石化股份有限公司,9587289
9918,欣欣天然氣股份有限公司,89545
2616,山隆通運股份有限公司,59295
9937,全國加油站股份有限公司,121089
8926,台灣汽電共生股份有限公司,223826
9926,新海瓦斯股份有限公司,35847
9908,大台北區瓦斯股份有限公司,68743
5534,長虹建設股份有限公司,4894455
2548,華固建設股份有限公司,3129806
2542,興富發建設股份有限公司,3819216
3056,總太地產開發股份有限公司,364493
3266,昇陽建設企業股份有限公司,636848
5515,建國工程股份有限公司,933488
9946,三發地產股份有限公司(原:金革),401367
5522,遠雄建設事業股份有限公司,1477200
2537,聯上開發股份有限公司,255537
