company_name_1,company_name_2,person_name,position
東風汽車,东风汽车集团股份有限公司,"日产(中国)投资有限公司,竺延风,李绍烛,内田诚,乔阳,山崎庄平,星野朝子,周先鹏,张继辉,席裕镇,马磊,杨耀辉,任勇,魏建彬,张继辉,张继辉,李必强,赵平","董事长,董事,董事,董事,董事,董事,董事,董事"
中國中煤能源,王树东,"彭毅,解国光,金克宁,刘智勇,那希志,祁泽瑞,义宝厚,董树奎,李金凤,张国新","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,监事会主席,监事"
百度,李彦宏,"崔珊珊,赵坤,向海龙,向海龙,向海龙,沈抖,沈抖,沈抖,刘计平,沈抖",
上海電氣,上海电气(集团)总公司,"福禧投资控股有限公司,申能(集团)有限公司,汕头市明光投资有限公司,冷伟青,干频,李安,刘运宏,习俊通,徐建新,姚珉芳,朱兆开,董鑑华,李斌,胡康,贾廷纲,邵建明,金孝龙,肖卫华,阳虹","董事长,董事,董事,董事,董事,董事,董事,董事,监事,监事"
長城汽車,保定创新长城资产管理有限公司,"魏建军,王凤英,何平,乐英,李万军,吴智杰,杨志娟,刘倩,卢彩娟,马宇博,郭明,王印明,李瑞峰,杨国彤,王彦乐,王彦乐,马强,张国欣,穆峰,蒋俊飞","董事长,副董事长,董事,董事,董事,董事,董事,监事,监事,监事"
京東方科技,中国工商银行北京信托投资公司,"北京显像管总厂,陈炎顺,刘晓东,潘金峰,胡晓林,李轩,吕廷杰,王化成,高文宝,历彦涛,宋杰","总经理,董事长,副董事长,副董事长,独立董事,独立董事,独立董事,独立董事,董事,董事,董事"
上海鋼聯電子商務,上海兴业投资发展有限公司,"朱军红,刘跃武,贾良群,肖国树,虞瑞泰,毛杰,朱军红,高波,杜惟毅,金源,王芳,魏军锋,夏晓坤,张厚林,周旭,倪文玮,王美,张王军,张王军,陈娟,朱军红","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,监事"
中國國際海運貨櫃,中國國際海運貨櫃,None,None
大唐國際發電,北京国际电力开发投资公司,"梁永磐,王森,应学军,姜付秀,刘熀松,罗仲伟,牛东晓,曹欣,陈飞虎,金生祥,张耀军,刘睿湘,梁永磐,李赓武,胡春涛,郝金玉,应学军,王顺启,李凌,魏玉萍","总经理,董事长,副董事长,执行董事,独立董事,独立董事,独立董事,独立董事,董事,董事,董事"
中國糧油控股,中國糧油控股,None,None
榮盛石化,李水荣,"项炯炯,李彩娥,李永庆,全卫英,邵毅平,严建苗,俞凤娣,郑晓东,李国庆","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,监事"
